Ticker,Name,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
IIN,Intricon Corp.,12.03,N/A,N/A,N/A,108.545427,-28.24,N/A,1.002213902
IIPR,"Innovative Industrial Properties, Inc.",117.72,0.031173892,N/A,N/A,2673.055272,41.98,1.369325678,1.250678097
IIVI,"II-VI, Inc.",39.005,N/A,N/A,N/A,4067.93232,-45.9,N/A,1.223698711
IKNX,IKONICS Corp.,3.57,N/A,N/A,N/A,7.82496,-3.79,N/A,0.275096676
ILMN,"Illumina, Inc.",342.52,N/A,N/A,N/A,50591.92,72.63,N/A,0.86705707
ILPT,Industrial Logistics Properties Trust,21.84,0.060273973,N/A,N/A,1428.09024,28.29,1.70984456,1.072052698
IMBI,"iMedia Brands, Inc.",6.165,N/A,N/A,N/A,80.26624,-1.58,N/A,0.630120854
IMGN,"ImmunoGen, Inc.",3.52,N/A,N/A,N/A,621.36952,-8.24,N/A,1.407315749
IMH,"Impac Mortgage Holdings, Inc.",1.41,N/A,N/A,N/A,28.023468,-0.34,N/A,0.569511803
IMKTA,"Ingles Markets, Inc.",39.13,0.016471175,0,0,569.170308,5.43,0.091827365,0.43986614
IMMR,Immersion Corp.,9.1,N/A,N/A,N/A,247.156779,-46.81,N/A,0.912316034
IMMU,"Immunomedics, Inc.",41.94,N/A,N/A,N/A,9312.79176,-24.36,N/A,1.848630596
IMUX,"Immunic, Inc.",13.72,N/A,N/A,N/A,295.442958,-4.21,N/A,0.976988315
IMXI,"International Money Express, Inc.",16.59,N/A,N/A,N/A,617.148292,26.2,N/A,0.880515659
INAP,Internap Corp.,0.085,N/A,N/A,N/A,2.262785,-0.02,N/A,1.376302183
INBK,First Internet Bancorp,16.38,0.015789474,N/A,N/A,148.94556,6.84,0.100937881,1.573232528
INCY,Incyte Corp.,90.545,N/A,N/A,N/A,20026.26743,-102.79,N/A,0.640329735
INDB,Independent Bank Corp. (Massachusetts),62.59,0.028841532,N/A,N/A,2056.465669,14.15,0.406467347,1.113066059
INFI,"Infinity Pharmaceuticals, Inc.",1.02,N/A,N/A,N/A,60.048114,-1.32,N/A,0.708434293
INFN,Infinera Corp.,6.275,N/A,N/A,N/A,1195.5163,-3.66,N/A,1.176803424
INFO,IHS Markit Ltd.,79.19,0.004167688,N/A,N/A,32371.7598,39.27,0.168625701,1.064079525
INFU,"InfuSystem Holdings, Inc.",13.54,N/A,N/A,N/A,279.335574,47.83,N/A,1.044366142
INGN,"Inogen, Inc.",27.83,N/A,N/A,N/A,615.423529,93.69,N/A,0.696459565
INGR,"Ingredion, Inc.",81.51,0.031563126,0.008,0.069610376,5348.24208,15.66,0.484001076,0.937196787
INN,"Summit Hotel Properties, Inc.",6.05,0.06132879,N/A,N/A,621.471235,-10.51,-0.625543006,1.422836412
INO,"Inovio Pharmaceuticals, Inc.",9.58,N/A,N/A,N/A,1650.072,-5.63,N/A,-0.484815548
INOD,"Innodata, Inc.",2,N/A,N/A,N/A,53.07603,-34.91,N/A,0.283611707
INOV,"Inovalon Holdings, Inc.",24.215,N/A,N/A,N/A,3942.817542,313.6,N/A,0.933597927
INPX,Inpixon,1.06,N/A,N/A,N/A,47.753009,-0.06,N/A,1.10423103
INS,Intelligent Systems Corp.,35.7,N/A,N/A,N/A,330.31388,31.69,N/A,1.060319047
INSE,"Inspired Entertainment, Inc.",2.995,N/A,N/A,N/A,72.31263,-1.07,N/A,1.27156017
INSG,Inseego Corp.,10.64,N/A,N/A,N/A,1097.684208,-8.42,N/A,1.276569876
INSM,"Insmed, Inc.",27.475,N/A,N/A,N/A,2735.92776,-10.35,N/A,1.461583058
INSP,"Inspire Medical Systems, Inc.",118.28,N/A,N/A,N/A,3204.487957,-52.05,N/A,1.280584246
INST,"Instructure, Inc.",49,N/A,N/A,N/A,1841.273,-22.41,N/A,0.064262755
