symbol,name,exchange,ipoDate,delistingDate,status
AIRTW,Air T Inc - Warrants (15/01/2021),NASDAQ,2019-06-12,null,Active
AIT,Applied Industrial Technologies Inc,NYSE,1984-09-07,null,Active
AIV,Apartment Investment and Management Company,NYSE,1994-07-22,null,Active
AIW,Arlington Asset Investment Corp,NYSE,2013-05-06,null,Active
AIZ,Assurant Inc,NYSE,2004-02-05,null,Active
AIZP,Assurant Inc 650 Series D Mandatory Convertible Preferred Stock 100 par value,NYSE,2018-03-08,null,Active
AJG,Arthur J Gallagher Company,NYSE,1984-09-07,null,Active
AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,1981-02-02,null,Active
AJX,Great Ajax Corp,NYSE,2015-02-13,null,Active
AJXA,Great Ajax Corp 725 Convertible Senior Notes due 2024,NYSE,2017-04-28,null,Active
AKAM,Akamai Technologies Inc,NASDAQ,1999-10-29,null,Active
AKBA,Akebia Therapeutics Inc,NASDAQ,2014-03-20,null,Active
AKCA,Akcea Therapeutics Inc,NASDAQ,2017-07-14,null,Active
AKER,Akers Biosciences Inc,NASDAQ,2014-01-23,null,Active
AKO-A,Embotelladora Andina SA ADR AKOA,NYSE,1994-07-07,null,Active
AKO-B,Embotelladora Andina SA ADR AKOB,NYSE,1997-04-07,null,Active
AKR,Acadia Realty Trust,NYSE,1993-05-27,null,Active
AKRO,Akero Therapeutics Inc,NASDAQ,2019-06-20,null,Active
AKTS,Akoustis Technologies Inc,NASDAQ,2015-11-20,null,Active
AKTX,nan,NASDAQ,2015-09-21,null,Active
AKU,Akumin Inc,NASDAQ,2018-03-08,null,Active
AKUS,Akouos Inc,NASDAQ,2020-06-26,null,Active
AL,Air Lease Corp,NYSE,2011-04-19,null,Active
AL-P-A,Air Lease Corporation 6150 FixedtoFloating Rate NonCumulative Perpetual Preferred Stock Series A,NYSE,2019-02-27,null,Active
ALAC,Alberton Acquisition Corp,NASDAQ,2018-11-21,null,Active
ALACR,Alberton Acquisition Corp Tradeable Rights Nov 2018,NASDAQ,2018-11-21,null,Active
ALACU,Alberton Acquisition Corp Unit 1 Ord USD 1 Rt,NASDAQ,2018-10-24,null,Active
ALACW,Alberton Acquisition Corp Warrants 22042020,NASDAQ,2018-11-21,null,Active
ALB,Albemarle Corp,NYSE,1994-02-22,null,Active
ALBO,Biodel Inc,NASDAQ,2007-05-11,null,Active
ALC,Alcon Inc,NYSE,2019-04-09,null,Active
ALCO,Alico Inc,NASDAQ,1973-05-03,null,Active
ALDA,ALDILA INC,NASDAQ,2010-02-08,null,Active
ALDX,Aldeyra Therapeutics Inc,NASDAQ,2014-05-02,null,Active
ALE,ALLETE Inc,NYSE,1973-05-03,null,Active
ALEC,Alector Inc,NASDAQ,2019-02-07,null,Active
ALEX,Alexander Baldwin Inc,NYSE,2012-06-14,null,Active
ALG,Alamo Group Inc,NYSE,1993-03-19,null,Active
ALGN,Align Technology Inc,NASDAQ,2001-01-30,null,Active
ALGT,Allegiant Travel Company,NASDAQ,2006-12-08,null,Active
ALIM,Alimera Sciences Inc,NASDAQ,2010-04-22,null,Active
ALIN-P-A,Altera Infrastructure LP 725 Series A,NYSE,2014-09-22,null,Active
ALIN-P-B,Altera Infrastructure LP 850 Series B,NYSE,2015-04-21,null,Active
ALIN-P-E,Altera Infrastructure LP 8875 Series E,NYSE,2018-01-17,null,Active
ALJJ,ALJ Regional Holdings Inc,NASDAQ,1996-04-03,null,Active
ALK,Alaska Air Group Inc,NYSE,2001-01-02,null,Active
ALKS,Alkermes plc,NASDAQ,1991-07-16,null,Active
ALL,The Allstate Corp,NYSE,1993-06-03,null,Active
ALL-P-A,Allstate Corporation The Dep Shs Repstg 11000th Perp Pfd Ser A,NYSE,2014-09-22,null,Active
ALL-P-A-CL,,NYSE,2019-12-10,null,Active
ALL-P-B,Allstate Corporation The 5100 FixedtoFloating Rate Subordinated Debentures due 2053,NYSE,2014-09-22,null,Active
ALL-P-G,Allstate Corporation The Depositary Shares Series G,NYSE,2018-03-27,null,Active
ALL-P-H,Allstate,NYSE,2019-08-02,null,Active
ALLE,Allegion PLC,NYSE,2013-11-18,null,Active
ALLK,Allakos Inc,NASDAQ,2018-07-19,null,Active
ALLO,Allogene Therapeutics Inc,NASDAQ,2018-10-11,null,Active
ALLT,Allot Communications Ltd,NASDAQ,2006-11-16,null,Active
ALLY,Ally Financial Inc,NYSE,2014-04-10,null,Active
ALLY-P-A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,NYSE,2014-09-22,null,Active
ALNA,Allena Pharmaceuticals Inc,NASDAQ,2017-11-02,null,Active
ALNY,Alnylam Pharmaceuticals Inc,NASDAQ,2004-06-01,null,Active
ALO,Alio Gold Inc Canada,NYSE,2006-11-24,null,Active
ALOT,AstroMed Inc,NASDAQ,1984-09-07,null,Active
ALP-P-Q,Alabama Power Company 500 Class A Preferred Stock Cumulative Par Value 1 Per Share Stated Capital 25 Per Share,NYSE,2017-09-05,null,Active
ALPN,Alpine Immune Sciences Inc,NASDAQ,2015-06-17,null,Active
ALRM,Alarmcom,NASDAQ,2015-06-26,null,Active
ALRN,Aileron Therapeutics Inc,NASDAQ,1986-03-12,null,Active
ALRS,Alerus Financial Corp,NASDAQ,2001-01-02,null,Active
ALSK,Alaska Communications Systems Group Inc,NASDAQ,1999-11-18,null,Active
ALSN,Allison Transmission Holdings Inc,NYSE,2012-03-15,null,Active
ALT,Altimmune Inc,NASDAQ,2005-10-06,null,Active
ALTA,Altabancorp Com,NASDAQ,2015-06-11,null,Active
ALTG,Alta Equipment Group Inc Class A,NYSE,2019-04-25,null,Active
ALTG-WS,Alta Equipment Group Inc Warrants,NYSE,2019-04-26,null,Active
ALTL,Pacer Lunt Large Cap Alternator ETF,NYSE ARCA,2012-09-06,null,Active
ALTM,Kayne Anderson Acquisition Corp,NASDAQ,2017-05-02,null,Active
ALTR,Altair Engineering Inc,NASDAQ,2017-11-01,null,Active
ALUS,Alsius Corp,NYSE,2010-01-04,null,Active
ALUS-U,Allusa Energy Acquisition Corp Unit 1 Shs Cl A & 12 Red Wt,NYSE,2019-11-26,null,Active
